orden,codigo,nombre,categoria,descripcion,especificaciones,beneficios,presentacion,imagen,pdf
53,EQ018,Cinta Industrial Prime,equipos,"La cinta industrial de color negro es fabricado con material sensible a la presión y contiene adhesivos de alta calidad, siendo ideal para las reparaciones temporales
de los revestimientos tipo liners en los tanques y piscinas para acuicultura y
recreación.","- La superficie por pegar debe estar limpia y seca. La cinta no se adherirá si las
superficies no están preparadas adecuadamente, superficies sucias o húmedas.
- Deberán limpiarse en su totalidad con agua, toallas de papel, trapos secos u
otros materiales que preparen la superficie para pegar la cinta.
- Las acumulaciones de polvo también deben eliminarse para asegurar un
pegado seguro.
- Para una óptima adhesión se prefiere una temperatura en la superficie que
esté por encima de los 10 a 15º C.
- Si está por debajo de este rango, se debe utilizar una fuente de calor, como
un soplador de aire caliente de uso industrial que es un método recomendado.","- No es sensible a altas temperaturas ambientales, ni exposición UV y a la hu-
medad.
- Es de grado alimenticio, no tóxico para producción acuícola.
- Alta resistencia, la cinta no se puede retirar fácilmente una vez adherido.
- Revestimiento antiadherente de papel.","Ancho: 10 cm
Largo: 15 m
Peso estándar: 1,4 kg
Espesor del adhesivo: 0,51 mm",EQ018_CINTA_INDUSTRIAL_PRIME.PNG,EQ018_CINTA_INDUSTRIAL_PRIME.PDF
54,EQ019,Freshwater,equipos,"Kit multiparámetros, rápido y fácil de usar.",,"Permite al productor acuícola
mantener el control de los metabolitos tóxicos más perjudiciales dentro de su
cultivo. Recomendado para agua dulce.",Kit de 7 envases de 37 ML cada uno.,EQ019_FRESHWATER.PNG,EQ019_FRESHWATER.PDF
55,EQ020,Kits API Calcio,equipos,"El calcio es uno de los elementos más importantes en un acuario de arrecife.
Los invertebrados de los arrecifes, como los corales, crustáceos, moluscos e
incluso algún tipo de algas incrustantes, necesitan calcio para crecer y man-
tenerse sanos. Con el tiempo, el nivel de calcio disminuye a medida que lo
utilizan los invertebrados o cuando reacciona con el exceso de fosfato.",El KIT DE PRUEBA DE CALCIO API mide niveles de calcio tan bajos como 20mg/L para ayudarle a mantener saludables a los habitantes de su arrecife.,"Se puede usar tanto para acuarios frescos
como para acuarios de agua salada.","Contiene 2 frascos de prueba, instrucciones
fáciles de usar y un tubo de ensayo.",EQ020_KITS_API_CALCIO.PNG,EQ020_KITS_API_CALCIO.PDF
56,EQ021,Kits API de pH,equipos,"El KIT DE PRUEBA DE pH DE RANGO ALTO API mide los cambios de pH en
acuarios marinos, acuarios con cíclidos africanos y agua del grifo muy alcalina.","El KIT DE PRUEBA DE pH DE RANGO ALTO API lee el pH del agua dentro
del rango alto de 7,4 a 8,8 e incluye una botella de solución de prueba y un
tubo de ensayo.","Se puede usar tanto para acuarios frescos
como para acuarios de agua salada.","Contiene 160 pruebas e incluye 1 frasco de
prueba, instrucciones fáciles de usar, tubo de
ensayo y tabla de colores.",EQ021_KITS_API_DE_PH.PNG,EQ021_KITS_API_DE_PH.PDF
57,EQ022,Kits API Dureza de Carbono,equipos,,,"Se puede usar tanto para acuarios frescos
como para acuarios de agua salada.",,EQ022_KITS_API_DUREZA_DE_CARBONO.PNG,EQ022_KITS_API_DUREZA_DE_CARBONO.PDF
58,EQ023,Kits API Fosfato,equipos,"El fosfato puede ingresar a su acuario a través del agua del grifo, desechos
de peces y sustancias orgánicas en descomposición, como alimentos no
consumidos y algas muertas. El exceso de fosfato contribuye a la aparición
de algas antiestéticas y la proliferación de agua verde, y en agua salada, el
exceso de fosfato puede inhibir el crecimiento de corales duros.","El KIT DE PRUEBA DE FOSFATO API prueba los niveles de fosfato de 0 a 10
ppm para que pueda controlar fácilmente el estado del agua de su acuario.","Se puede usar tanto para acuarios frescos
como para acuarios de agua salada.","Contiene 150 pruebas e incluye 2 soluciones de
prueba, instrucciones fáciles de usar, tubo de
ensayo y 2 tablas de colores.",EQ023_KITS_API_FOSFATO.PNG,EQ023_KITS_API_FOSFATO.PDF
59,EQ024,Kits API Amonio,equipos,"El kit de prueba de amoníaco API® mide el amoníaco para ayudar a
prevenir la pérdida de peces, ya que el amoníaco es el principal factor
estresante y mortal de los peces tropicales. El amoníaco se libera en un
acuario en forma de alimentos no consumidos, materia orgánica en
descomposición y cuando los peces lo liberan a través de las branquias, la
orina y los desechos sólidos.","El API Ammonia Test Kit es una prueba de salicilato libre de mercurio para
peces de agua dulce y salada, y niveles de niveles de amoníaco de 0 a 8
ppm.","Se puede usar tanto para acuarios frescos
como para acuarios de agua salada.","Contiene 130 pruebas e incluye 2 soluciones de
prueba, instrucciones fáciles de usar, tubo de
prueba de vidrio y 2 tablas de colores.",EQ024_KITS_API_AMONIO.PNG,EQ024_KITS_API_AMONIO.PDF
60,EQ025,Kits API Nitrato,equipos,"Los altos niveles de nitrato en su acuario indican una acumulación de
desechos de pescado y compuestos orgánicos, lo que resulta en una
calidad del agua deficiente y un aumento en el crecimiento de algas. Por
el contrario, mantener un bajo nivel de nitrato mejora la salud de los peces
e invertebrados.","Use el Kit de prueba de nitrato API® para asegurarse de que los niveles de
nitrato en su tanque sean seguros y saludables para sus peces. El Nitrate
Test Kit lee parámetros de 0 a 160 ppm y contiene 2 frascos de reactivo de
prueba líquido, 2 tarjetas de color para facilitar la comparación, 1 tubo de
vidrio con tapa hermética e instrucciones paso a paso sobre cómo
corregir condiciones inseguras.","Se puede usar tanto para acuarios frescos
como para acuarios de agua salada.","Contiene 90 pruebas e incluye 2 soluciones de
prueba, instrucciones fáciles de usar, tubo de
prueba de vidrio y carta de colores.",EQ025_KITS_API_NITRATO.PNG,EQ025_KITS_API_NITRATO.PDF
61,EQ026,Kits API Nitrito,equipos,"El nitrito se produce en el acuario en forma de desechos de pescado,
alimentos no consumidos y bacterias nitrificantes en el ciclo natural de su
acuario, ya que descompone el amoníaco. Los niveles bajos de nitrito
inhiben la respiración y suprimen el sistema inmune, mientras que los
niveles altos causan asfixia en los peces.","El kit de prueba de nitrito API® lee
los niveles de nitrito de forma rápida y precisa en su tanque y prueba los
parámetros de 0 a 5 ppm.","Se puede usar tanto para acuarios frescos
como para acuarios de agua salada.","Contiene 180 pruebas e incluye 1 solución de prueba,
instrucciones fáciles de usar, tubo de prueba de vidrio
y carta de colores.",EQ026_KITS_API_NITRITO.PNG,EQ026_KITS_API_NITRITO.PDF
62,EQ027,Malla Marines Roja,equipos,"Malla técnica de alto rendimiento elaborada con 100% poliéster texturizado, teñida por agotamiento, de color rojo. Ideal para aplicaciones en acuicultura, filtrado o protección. Ofrece durabilidad, resistencia y buen rendimiento por kilo de producto.","Artículo: Marines
Composición: 100% Poliéster texturizado
Ancho: 1,60 m
Micraje: 800 - 900 micras
Rendimiento: Aproximadamente 15 metros por kilo
Proceso de tintura: Por agotamiento
Proceso de lavado: No dejar en remojo con detergentes
Color: Rojo","Alta resistencia y durabilidad gracias a su composición de poliéster texturizado.

Excelente rendimiento: mayor cobertura por kilo.

Teñida por agotamiento, lo que asegura color uniforme y buena fijación.

Ideal para sistemas de filtración, sombreado o contención en ambientes húmedos o exigentes.

Fácil de manejar y cortar.","Presentación: Rollos de 200 metros

Comercialización: Por metro lineal

Almacenamiento: Guardar en lugar seco, protegido del sol directo y de humedad excesiva para conservar su color y estructura.",EQ027_MALLA_MARINES_ROJA.PNG,EQ027_MALLA_MARINES_ROJA.PDF
63,EQ028,Mallas Nitex,equipos,"Mallas de precisión fabricadas con monofilamento sintético especializado, diseñadas para garantizar consistencia en la filtración. Son resistentes a bacterias, limpiadores, ácidos e insectos, ideales para ambientes exigentes como laboratorios, hatcheries, sistemas RAS y otras aplicaciones industriales o acuícolas.","Material: Monofilamento sintético
Tipo de tejido: Tejido de precisión
Resistencia química: Alta (bacterias, limpiadores, ácidos, insectos)
Propiedades destacadas:
Tamaño de poro constante
Grosor definido
Alta resistencia a la tracción
Estabilidad dimensional
Facilidad de limpieza
MICRAJES DISPONIBLES:
75 micras
100 micras
200 micras
300 micras
400 micras
600 micras
1000 micras","Permite una filtración precisa y repetible

No se deforma ni pierde estructura en uso prolongado

Alta resistencia a agentes químicos y al desgaste

Facilita la limpieza y el mantenimiento

Compatible con procesos de bioseguridad exigentes","Presentación: Venta por metros lineales

Almacenamiento: Mantener en lugar seco, limpio y protegido de la luz solar directa para preservar su integridad estructural y micraje.",EQ028_MALLAS_NITEX.PNG,EQ028_MALLAS_NITEX.PDF
64,EQ029,Mallas para Piscinas Camaroneras,equipos,"Mallas sintéticas de alta resistencia diseñadas para aplicaciones en acuicultura. Fabricadas con polímeros de calidad, son resistentes a bacterias, duraderas, con protección UV y configuradas en forma rómbica para máxima eficiencia de filtrado y protección estructural.","Material: Polímero
Color: Negro
Configuración: Malla rómbica (refuerzo en modelos 5277 y 5255)
Protección UV: Sí
Resistencia bacteriana: Alta
Presentaciones de malla:
Malla 5277: 1x1 mm
Malla 5255: 3x3 mm
Malla 5201: 4x4 mm
Malla 5256: 6x6 mm","Alta durabilidad y resistencia mecánica.

Protección contra exposición prolongada al sol gracias a su tratamiento UV.

Diseño antibacteriano que previene acumulaciones nocivas.

Fácil de cortar e instalar en sistemas de filtrado, protección de tanques o esclusas.

Versatilidad de calibres según la necesidad del cultivo o instalación.","Presentación por metraje:
Malla 5277: Rollos de 50 metros
Mallas 5255, 5201, 5256: Rollos de 25 metros
Peso del rollo: Aproximadamente 16,8 kg
Almacenamiento:
Mantener en lugar seco, alejado de fuentes de calor y rayos solares cuando no esté en uso.
Puede almacenarse en posición vertical u horizontal sin riesgo de deformación.",EQ029_MALLAS_PARA_PISCINAS_CAMARONERAS.PNG,EQ029_MALLAS_PARA_PISCINAS_CAMARONERAS.PDF
65,EQ030,Manguera de Vinil Transparente,equipos,"Aprobado por la FDA, de muy alta calidad con un diámetro ligeramente más
grande y pared más pesada que la
tubería de acuario.",Modelo: TP30HD Longitud: 100 pie Diámetro interior: 3/16 pulgadas Diámetro exterior: 5/16 pulgadas PSI: 40,"Este tubo tiene una capacidad nominal de 36 psi a 22 °C (72
°F).",Rollos de 31 metros.,EQ030_MANGUERA_DE_VINIL_TRANSPARENTE.PNG,EQ030_MANGUERA_DE_VINIL_TRANSPARENTE.PDF
66,EQ031,Manguera Difusora,equipos,"Para obtener un ambiente adecuado en el estanque, la manguera difusora se
debe ubicar de acuerdo a la forma del mismo:
Estanque circular:
Debe ser ubicada de forma circular en el fondo del estanque.
Estanque rectangular:
Debe ser dividida en líneas verticales, ubicándolas en el fondo del estanque.","Diámetro externo: 2,54cm Diámetro interno: 1,27cm Grosor de la pared: 0,64cm Peso: 0,33 kg/m Longitud del rollo: 61m Peso del rollo: 20kg Presión de la rotura: 5,62 kgs/cm2 Flujo de aire: 0,037m3/min/m","- La manguera difusora Aerotube está compuesta por un material de polietileno
poroso.
- Permite emitir micro burbujas y mantener alrededor del 90% a 95% del nivel de
oxígeno en el agua.",Por metro,EQ031_MANGUERA_DIFUSORA.PNG,EQ031_MANGUERA_DIFUSORA.PDF
67,EQ032,Medidor de Calcio,equipos,"Medidor portátil de calcio con electrodo selectivo de iones, diseñado para ofrecer mediciones rápidas y precisas en campo o laboratorio. Su diseño compacto y resistente, sumado a su facilidad de uso y necesidad de muestra mínima, lo convierte en una herramienta ideal para aplicaciones en acuicultura, agricultura e investigación.","Características Principales
• A prueba de agua y polvo (IP67)
• Resistente a golpes
• Pantalla LCD con retroiluminación para condiciones de baja luz
• Sensor reemplazable
• Auto Hold y estabilización automática
• Apagado automático (30 min)
• Indicador de batería baja
Construcción y Alimentación
• Material: Carcasa Epoxi ABS / Sensor plano
• Pantalla: LCD digital monocromática con retroiluminación
• Dimensiones: 164 × 29 × 20 mm
• Peso: Aprox. 55 g (incluyendo baterías y sensor)
• Alimentación: 2 baterías CR2032
• Duración: Aprox. 400 horas de uso continuo sin retroiluminación","• Permite análisis precisos de calcio con solo unas gotas de muestra.
• Ideal para monitoreo directo en campo o laboratorio.
• Portátil, práctico y con alta resistencia al agua, polvo y golpes.
• Fácil de usar, con calibración simple y rápida.","• Soluciones de calibración: 150 y 2000 ppm (14 ml c/u)
• 2 baterías CR2032
• Jeringa dosificadora (2.5 ml)
• Manual de instrucciones
• Estuche rígido de transporte",EQ032_MEDIDOR_DE_CALCIO.PNG,EQ032_MEDIDOR_DE_CALCIO.PDF
68,EQ033,Medidor de Conductividad EC-11,equipos,"Medidor portátil compacto y de alta precisión diseñado para la medición de conductividad en campo o laboratorio. Su tecnología de doble electrodo bipolar y funciones automatizadas permiten lecturas confiables con un volumen mínimo de muestra. Es resistente, impermeable (IP67) y apto para condiciones exigentes. Ideal para aplicaciones en acuicultura, agricultura y análisis de calidad de agua.","Características Principales
• A prueba de agua y polvo (IP67)
• Resistente a golpes y caídas
• Pantalla LCD amplia y retroiluminada
• Requiere volumen mínimo de muestra: 0.12 ml
• Sensor plano y reemplazable
• Apagado automático (30 min)
• Indicador de batería baja
Construcción y Alimentación
• Material: Carcasa Epoxi ABS
• Pantalla: LCD monocromática con retroiluminación
• Dimensiones: 164 × 29 × 20 mm
• Peso: Aprox. 55 g (incluyendo baterías y sensor)
• Alimentación: 2 baterías CR2032
• Duración: Aprox. 400 horas de uso continuo sin retroiluminación","Lectura rápida y precisa de conductividad con una muestra mínima.
• Portátil, confiable y resistente para uso en campo o laboratorio.
• Automatizaciones que simplifican la operación sin comprometer la precisión.
• Ideal para controlar la calidad del agua en cultivos acuícolas, agrícolas o análisis industriales.","Soluciones de calibración: 1,41 mS/cm y 12,9 mS/cm (14 ml c/u)
• Solución de tratamiento de electrodo (4 ml)
• 2 baterías CR2032
• Pipeta
• Manual de instrucciones
• Estuche portátil",EQ033_MEDIDOR_DE_CONDUCTIVIDAD_EC_11.PNG,EQ033_MEDIDOR_DE_CONDUCTIVIDAD_EC_11.PDF
69,EQ034,Medidor de pH,equipos,,"Características Principales
• A prueba de agua y polvo (IP67)
• Resistente a golpes y caídas
• Lectura directa con muestra mínima (0.3 ml)
• Calibración sencilla con solo dos botones
• Pantalla LCD retroiluminada
• Sensor reemplazable
• Apagado automático (30 min)
• Indicador de batería baja
Funciones
• Reconocimiento automático de buffer
• Compensación automática de temperatura
• Calibración de temperatura
• Auto Hold / Estabilización automática
• Apagado automático
• Indicador de batería baja
Construcción y Alimentación
• Material: Carcasa Epoxi ABS, sensor plano
• Dimensiones: 164 x 29 x 20 mm
• Peso: Aprox. 55 g (con sensor y baterías)
• Alimentación: 2 baterías CR2032
• Autonomía: Aprox. 400 h sin retroiluminación","A prueba de agua y polvo, resistente a golpes.
- Peso 55 gramos.
- Pantalla amplia LCD con retroiluminación para ver resultados en lugares
obscuros.
- Se necesita un volumen mínimo de muestra.
- Solo dos botones de calibración.
- Material de la carcaza de polímero Epoxi ABS.","- Soluciones de calibración pH 7.00 & 4.01
(14 ml cada uno).
- Baterías CR2032 (2).
- Pipeta.
- Manual de instrucción y manual rápido.
- Estuche.",EQ034_MEDIDOR_DE_PH.png,EQ034_MEDIDOR_DE_PH.PDF
70,EQ035,Medidor de Potasio,equipos,"Medidor portátil japonés de potasio de alta precisión, ideal para laboratorio y campo. Utiliza tecnología de electrodo selectivo de iones, requiere un volumen mínimo de muestra y ofrece lectura rápida, confiable y fácil gracias a su pantalla LCD con retroiluminación. Compacto, liviano y resistente, diseñado para pruebas rápidas en líquidos, suelos o soluciones nutritivas.","Características Principales
• A prueba de agua y polvo (IP67)
• Resistente a golpes y caídas
• Lectura directa con muestra mínima (0.3 ml)
• Calibración sencilla con solo dos botones
• Pantalla LCD retroiluminada
• Sensor reemplazable
• Apagado automático (30 min)
• Indicador de batería baja
Funciones
• Reconocimiento automático de buffer
• Compensación automática de temperatura
• Calibración de temperatura
• Auto Hold / Estabilización automática
• Apagado automático
• Indicador de batería baja
Construcción y Alimentación
• Material: Carcasa Epoxi ABS, sensor plano
• Dimensiones: 164 x 29 x 20 mm
• Peso: Aprox. 55 g (con sensor y baterías)
• Alimentación: 2 baterías CR2032
• Autonomía: Aprox. 400 h sin retroiluminación","• Alta portabilidad y fácil operación en campo o laboratorio.
• Requiere una cantidad mínima de muestra para análisis rápidos.
• Precisión confiable para decisiones inmediatas en acuicultura, agricultura o control de calidad.
• Larga duración de batería y resistente a condiciones adversas.","Incluye estuche, soluciones de calibración de 150 y 2000 ppm (14 ml c/u), 2 baterías CR2032, 2 jeringas de 2.5 ml y manual de instrucciones.",EQ035_MEDIDOR_DE_POTASIO.PNG,EQ035_MEDIDOR_DE_POTASIO.PDF
71,EQ036,Microscopio,equipos,"Microscopio clínico de la vanguardia 1220CM-BP
Cabeza binocular","Tipo: óptico
Ergonomía: monocular
Otras características: LEDAumento: 4X objetivo, 10X, 40X, 100X (aceite)
Tipo objetivo: acromático (estruendo)
Sistema: óptico
Fijado: 160 mm
Inclinación de visión : 30 °; 360 ° rotativo
Ajuste interpupilar: 55-75 milímetro
Ajuste: -5 dióptrico a +5
Oculares 10X de campo ancho; 18 mm F.D
4-Position; Echada reversa.","Aplicaciones: de laboratorio, clínico",,EQ036_MICROSCOPIO.PNG,EQ036_MICROSCOPIO.PDF
72,EQ037,Neon OPTOD,equipos,"Oxímetro portátil de alta precisión para medición de oxígeno disuelto y temperatura en sistemas acuícolas. Utiliza sensor OPTOD con tecnología óptica de luminiscencia, ideal para ambientes de baja circulación. Procesa, registra y transmite datos de manera eficiente con almacenamiento interno de hasta 3000 mediciones.","Características Principales
• Medición de oxígeno en mg/L, ppm y % de saturación
• Sensor óptico OPTOD de bajo mantenimiento (cambio cada 2 años)
• Almacenamiento interno de 3000 registros, descarga por WiFi
• Apagado automático, zoom, y visualización avanzada
Datos Técnicos
• Rango de oxígeno: 0,00 – 20,00 mg/L / 0 – 200 %
• Resolución: 0,01
• Precisión: ±0,1 mg/L, ±0,1 %, ±0,5 °C
• Compensaciones: Barométrica (auto), Salinidad (manual), Temperatura (auto)","Lecturas confiables y precisas incluso en condiciones con baja circulación de agua
• Bajo mantenimiento y operación sin consumo de oxígeno
• Gestión completa de datos y usuarios directamente desde el sensor
• Ideal para mediciones de campo gracias a su portabilidad y autonomía",Equipo portátil alimentado con 3 pilas AA. Incluye sensor OPTOD. Datos exportables vía WiFi. No requiere condiciones especiales de almacenamiento.,EQ037_NEON_OPTOD.PNG,EQ037_NEON_OPTOD.PDF
73,EQ038,Oxigenómetro - Disuelto DO -120,equipos,"Oxigenómetro portátil japonés de alta precisión para mediciones de oxígeno disuelto y temperatura en campo. Equipado con sensor galvánico y carcasa resistente a caídas, polvo y agua (IP67), flota en el agua y permite lecturas en entornos exigentes. Ideal para acuicultura gracias a su durabilidad, amplio rango de medición y capacidad de almacenamiento de datos con registro de hora y fecha.","Características Principales
• A prueba de agua y polvo (IP67)
• Resistente a caídas, flota en agua
• Pantalla LCD retroiluminada
• Registro de datos con fecha y hora
• Auto-hold y mensajes de diagnóstico
• Apagado automático programable (1 a 30 min)
• Compatible con laptops vía salida RS232C
• Memoria de hasta 1000 lecturas
Datos Técnicos
• Rango oxígeno disuelto: 0.0 – 20.00 mg/L (0.0 – 200.0%)
• Resolución oxígeno: 0.01 mg/L o 0.1%
• Precisión oxígeno: ±0.1 mg/L
• Rango de temperatura: -30.0 °C a 130.0 °C
• Resolución temperatura: 0.1 °C
• Precisión temperatura: ±0.4 °C
• Compensación salinidad: 0 – 40 ppt
• Compensación barométrica: Sí
• Calibración: 1 o 2 puntos
• Sensor: Galvánico con sensor de temperatura integrado
• Salida de datos: RS232C
• Conectores: BNC y jack tipo phono
Alimentación y Autonomía
• 2 baterías AAA (LR03), Ni-H recargables o adaptador
• Duración batería: > 500 horas","Ideal para trabajos prolongados en campo por su resistencia y duración de batería
• Alta precisión y confiabilidad en condiciones extremas
• Capacidad de registrar y exportar datos con sello de fecha y hora
• Fácil lectura y uso incluso en entornos oscuros o húmedos","Kit incluye medidor DO120, sensor galvánico 9551-20D con cable de 2 m. No requiere condiciones especiales de almacenamiento ni refrigeración.",EQ038_OXIGENÓMETRO___Disuelto_DO__120.png,EQ038_OXIGENÓMETRO___Disuelto_DO__120.PDF
74,EQ039,Oxigenómetro - Oakton 260,equipos,"Medidor portátil de oxígeno disuelto y temperatura, diseñado con una carcasa robusta, antideslizante y resistente al agua (IP67), polvo e impactos. Su diseño ergonómico, interfaz intuitiva y funciones avanzadas lo convierten en una herramienta confiable para monitoreo en campo o laboratorio.","Características Principales
• Carcasa antideslizante y resistente (IP67)
• Pantalla LCD monocromática con retroiluminación
• Registro de hasta 1000 datos
• Conectividad USB y RS-232
Datos Técnicos
• Oxígeno disuelto: 0–20 mg/L, precisión ±0.1 mg/L
• Temperatura: -30 a 130 °C, precisión ±0.5 °C
• Resolución: 0.01 mg/L y 0.1 °C
• Alimentación: 2 baterías AA","Mide con precisión parámetros esenciales como OD y temperatura
• Ideal para condiciones exigentes de campo y laboratorio
• Permite trazabilidad de datos con su función de registro digital
• Fácil de usar, transportar y configurar","Equipo portátil con cable de 2 m, portaelectrodos y soporte plegable. No requiere refrigeración ni almacenamiento especial.",EQ039_OXIGENOMETRO_OAKTON_260.PNG,EQ039_OXIGENOMETRO_OAKTON_260.PDF
75,EQ040,Oxigenómetro OxyGuard Polaris C,equipos,"Oxímetro portátil de campo con sonda galvánica que permite medir oxígeno disuelto (en mg/L y % de saturación), temperatura y compensación de salinidad. Diseñado para ambientes exigentes, ofrece gran autonomía, pantalla retroiluminada y calibración automática con ajuste a presión barométrica.","Características Principales
• Medición de oxígeno (ppm / % saturación) y temperatura
• Calibración automática con verificación de estabilidad
• Compensación automática de temperatura y presión atmosférica
• Apagado automático para ahorro de energía
• Pantalla amplia con retroiluminación
• Incluye clip desmontable para sujetar al cinturón o portapapeles
• Opera hasta los 4000 msnm
• Batería de 9V con duración de hasta 1.400 horas
• Incluye membrana y solución estándar (electrolito)
Datos Técnicos
• Rango de oxígeno: 0 – 60 ppm
• Rango de temperatura: -5 °C a +45 °C
• Longitud del cable: 3 m y 8 m disponibles","• Equipamiento confiable para uso en campo y ambientes de cultivo exigentes
• Lecturas precisas gracias a su compensación barométrica y de temperatura
• Alta autonomía y facilidad de transporte para jornadas prolongadas
• Calibración automática que simplifica el manejo y reduce errores","Dispositivo portátil con sonda galvánica, clip desmontable, batería de 9V, membrana y solución electrolítica. No requiere condiciones especiales de almacenamiento.",EQ040_OXIGENÓMETRO_OxyGuard_Polaris_C.png,EQ040_OXIGENÓMETRO_OxyGuard_Polaris_C.PDF
76,EQ041,Piedras Difusoras,equipos,"Los difusores de aire son ideales para producir una emisión homogénea de
pequeñas burbujas en su acuario de agua dulce o salada. Con estos difusores
podrá crear columnas de burbujas sin necesitar una gran presión por parte de la
bomba de aire, gracias a su estructura cerámica muy porosa. Estos difusores son
imprescindibles en todo acuario debido a la gran amplitud de funciones que puede
desempeñar.","- Está fabricado con polímeros plásticos y cerámica de alta calidad y
durabilidad.
- Químicamente inertes al agua.
- Esta línea ofrece tres modelos rectangulares para adaptarse a las
necesidades puntuales de cada aplicación.
- Su conexión es de diámetro standard para manguera de 4/6 milímetros.","Todos los modelos de difusores cerámicos
presentan flotabilidad negativa. Esto es una gran ventaja a la hora de mantenerlos
en el fondo del acuario sin la necesidad de usar un lastre.","- Piedras difusoras AS15S
- Piedras difusoras AS3 (5x2.5x4)
- Piedras difusoras AS8L (8x4x4)
- Bubblemac Barb #0020
- Bubblemac Barb #0030
- Bubblemac Barb #0020F",EQ041_PIEDRAS_DIFUSORAS.PNG,EQ041_PIEDRAS_DIFUSORAS.PDF
77,EQ042,Salinómetro -11,equipos,"Salinómetro portátil de alta precisión con sensor plano, ideal para mediciones rápidas y confiables de salinidad en agua de mar, soluciones nutritivas y muestras de laboratorio o campo. Diseñado con materiales resistentes, pantalla retroiluminada y tecnología de medición con electrodos bipolares, este equipo requiere solo una pequeña cantidad de muestra y ofrece lecturas claras, estables y automáticas.","Características Principales
• A prueba de agua y polvo (IP67)
• Resistente a golpes
• Pantalla LCD monocromática con retroiluminación
• Sensor plano reemplazable
• Auto Hold y Auto Estable
• Apagado automático (30 min)
• Indicador de batería baja
• Reconocimiento automático de buffer
• Calibración automática de temperatura
• Sensor robusto ideal para campo y laboratorio. Construcción y Alimentación
• Material: Carcasa de Epoxi ABS / Sensor plano
• Dimensiones: 164 × 29 × 20 mm
• Peso: Aprox. 50 g (incluyendo baterías)
• Alimentación: 2 baterías CR2032
• Duración: Aprox. 400 horas de uso continuo sin retroiluminación","• Ideal para mediciones rápidas y precisas con muy poco volumen de muestra.
• Apto para condiciones de campo exigentes gracias a su resistencia al agua, polvo y golpes.
• Calibración y operación sencillas, incluso para personal no técnico.
• Alta portabilidad, ideal para monitoreo directo de salinidad en acuicultura, alimentos, aguas residuales y más.","• Soluciones de calibración a 0.5% y 5.0% (14 ml c/u)
• Solución de tratamiento de electrodo (4 ml)
• 2 baterías CR2032
• Pipeta
• Manual de instrucciones
• Estuche portátil",EQ042_SALINÓMETRO__11.png,EQ042_SALINÓMETRO__11.PDF
78,EQ043,Salinómetro Vee Gee STX-3,equipos,"Refractómetro manual de alta precisión diseñado para medir la concentración de sal (ppt) y la gravedad específica (GE) en agua de mar. Fabricado con materiales resistentes y equipado con compensación automática de temperatura (ATC), ofrece lecturas estables y exactas sin necesidad de alimentación eléctrica. Ideal para aplicaciones en acuicultura, laboratorios, industria alimentaria y campo.","Rango de medición:
• Salinidad: 0 a 100 ppt (partes por mil)
• Gravedad específica: 1.000 a 1.070
Compensación de temperatura:
• Automática (ATC), permite lecturas precisas sin importar la temperatura ambiente
Material y diseño:
• Prisma de vidrio óptico en carcasa metálica
• Cuerpo de metal duradero con recubrimiento exterior de caucho
• Empuñadura de goma que protege contra el calor de la mano y asegura mediciones estables
• Diseño tipo telescopio aerodinámico
• Dimensiones: 40 × 40 × 185 mm","Precisión inmediata sin necesidad de energía eléctrica.
• Alta durabilidad y portabilidad para uso en campo o laboratorio.
• Medición estable gracias a su diseño ergonómico y protección térmica.
• Ideal para monitoreo de salinidad en acuicultura, acuarios marinos, alimentos y más.",Equipo portátil.No requiere condiciones especiales de almacenamiento.,EQ043_SALINOMETRO_VEE_GEE_STX_3.PNG,EQ043_SALINÓMETRO_VEE_GEE_STX_3.PDF
79,EQ044,Smart Spectro,equipos,"Un espectrofotómetro fácil de usar y preciso. Con selección automática de
longitudes de onda, pruebas preprogramadas y un rendimiento superior.",,,,EQ044_SMART_SPECTRO.PNG,EQ044_SMART_SPECTRO.PDF
80,EQ045,Termómetro,equipos,,"Color: amarillo
Material: vidrio
Tamaño: 150 * 30 * 2mm",,,EQ045_TERMOMETRO.PNG,EQ045_TERMOMETRO.PDF
81,EQ046,Tirillas pH,equipos,,,,"Rango pH: 4.5 - 10.0
Envase de plástico.",EQ046_TIRILLAS_ph.png,EQ046_TIRILLAS_ph.PDF
82,EQ047,Tubos API,equipos,"API, Tubos de prueba de plástico, repuesto con tapas para
cualquier kit de prueba de acuario, incluyendo el kit de
prueba maestro de agua dulce API (caja de 24 unidades).","Contiene tapones de plástico.
Para usar cuando los tubos originales se han perdido
o dañado",,Caja de 24 tubos de ensayo,EQ047_TUBOS_API.PNG,EQ047_TUBOS_API.PDF
