ID,Numero,Codigo_Producto,Nombre,Categoria,Subcategoria,Slug,Imagen,PDF_Ficha,Descripcion_Corta,Descripcion_Larga,Marca,Disponibilidad,Destacado,Tags,Beneficios,Presentacion,Especificaciones,Palabras_Clave,Fecha_Actualizacion
"48","48","QU013","PERCARBONATO DE SODIO","quimicos","Oxidantes","percarbonato-de-sodio","/assets/images/productos/quimicos/QU013.png","/assets/pdfs/productos/quimicos/QU013_PERCARBONATO_DE_SODIO_ficha.pdf","Agente oxidante ecológico que libera oxígeno activo.","Agente oxidante ecológico que libera oxígeno activo, utilizado para oxigenación y desinfección.","PRILABSA","InStock","false","quimicos; acuicultura; prilabsa","Libera oxígeno activo de forma controlada.; Agente oxidante ecológico.; Mejora la oxigenación del agua.; Desinfectante suave y efectivo.","Presentación:; Sacos de 25 kg.; Almacenamiento:; Mantener en lugar seco y fresco.; Evitar el contacto con materiales combustibles.","Contenido de oxígeno activo: 13.5%; Forma: Granulado; Color: Blanco; Solubilidad: Soluble en agua; pH (solución 1%): 10.5-11.5","camarones; oxidantes; quimicos; acuicultura; prilabsa","2025-07-19T17:20:19.839292"
"49","49","QU007","TRILON B - EDTA","quimicos","Quelantes","trilon-b-edta","/assets/images/productos/quimicos/QU007.png","/assets/pdfs/productos/quimicos/QU007_TRILON_B_-_EDTA_ficha.pdf","Agente quelante para secuestrar metales pesados.","Agente quelante utilizado para secuestrar metales pesados y mejorar la calidad del agua.","PRILABSA","InStock","false","quimicos; acuicultura; prilabsa","Secuestra metales pesados del agua.; Mejora la calidad del agua.; Previene la precipitación de minerales.; Estabiliza soluciones químicas.","Presentación:; Sacos de 25 kg.; Almacenamiento:; Mantener en lugar seco y ventilado.; Evitar la humedad.","Pureza: ≥99%; Forma: Polvo cristalino; Color: Blanco; Solubilidad: Ligeramente soluble en agua; pH (solución 1%): 4.3-4.8","camarones; quelantes; quimicos; acuicultura; prilabsa","2025-07-19T17:20:19.839292"
"50","50","QU012","EDTA (4Na)","quimicos","Quelantes","edta-4na","/assets/images/productos/quimicos/QU012.png","/assets/pdfs/productos/quimicos/QU012_EDTA_4Na_ficha.pdf","Sal tetrasódica del EDTA, agente quelante altamente soluble.","Sal tetrasódica del EDTA, agente quelante altamente soluble para tratamiento de agua.","PRILABSA","InStock","false","quimicos; acuicultura; prilabsa","Alta solubilidad en agua.; Quelante efectivo de metales pesados.; Mejora la biodisponibilidad de nutrientes.; Estabiliza formulaciones químicas.","Presentación:; Sacos de 25 kg.; Almacenamiento:; Mantener en lugar seco y ventilado.; Evitar la humedad.","Pureza: ≥99%; Forma: Polvo cristalino; Color: Blanco; Solubilidad: Altamente soluble en agua; pH (solución 1%): 10.5-11.5","camarones; quelantes; quimicos; acuicultura; prilabsa","2025-07-19T17:20:19.839292"
"51","51","QU014","REFRIGERANTE ECOLÓGICO R507","quimicos","Refrigerantes","refrigerante-ecologico-r507","/assets/images/productos/quimicos/QU014.png","/assets/pdfs/productos/quimicos/QU014_REFRIGERANTE_ECOLOGICO_R507_ficha.pdf","Refrigerante ecológico para sistemas de refrigeración.","Refrigerante ecológico utilizado en sistemas de refrigeración para conservación de productos acuícolas.","PRILABSA","InStock","false","quimicos; acuicultura; prilabsa","Refrigerante ecológico sin CFC.; No daña la capa de ozono.; Alta eficiencia energética.; Ideal para conservación de productos acuícolas.","Presentación:; Cilindros de 11.3 kg.; Almacenamiento:; Mantener en lugar fresco y ventilado.; Evitar la exposición a altas temperaturas.","Composición: HFC-125/HFC-143a (50/50); Potencial de agotamiento del ozono: 0; Potencial de calentamiento global: 3985; Temperatura de ebullición: -46.7°C; Presión crítica: 37.1 bar","camarones; refrigerantes; quimicos; acuicultura; prilabsa","2025-07-19T17:20:19.839292"
"52","52","QU001","CLORURO DE MAGNESIO","quimicos","Sales","cloruro-de-magnesio","/assets/images/productos/quimicos/QU001.png","/assets/pdfs/productos/quimicos/QU001_CLORURO_DE_MAGNESIO_ficha.pdf","Sal mineral para ajuste de dureza y suplementación de magnesio.","Sal mineral utilizada para ajuste de dureza y suplementación de magnesio en sistemas acuícolas.","PRILABSA","InStock","false","quimicos; acuicultura; prilabsa","Suplementa magnesio en el agua.; Ajusta la dureza del agua.; Mejora la osmorregulación de los organismos.; Esencial para el metabolismo acuático.","Presentación:; Sacos de 25 kg.; Almacenamiento:; Mantener en lugar seco.; Evitar la humedad.","Pureza: ≥98%; Forma: Escamas; Color: Blanco; Solubilidad: Altamente soluble en agua; Contenido de Mg: 11.8%","camarones; sales; quimicos; acuicultura; prilabsa","2025-07-19T17:20:19.839292"
"53","53","QU002","CLORURO DE POTASIO","quimicos","Sales","cloruro-de-potasio","/assets/images/productos/quimicos/QU002.png","/assets/pdfs/productos/quimicos/QU002_CLORURO_DE_POTASIO_ficha.pdf","Sal mineral para suplementación de potasio y ajuste de salinidad.","Sal mineral utilizada para suplementación de potasio y ajuste de salinidad en acuicultura.","PRILABSA","InStock","false","quimicos; acuicultura; prilabsa","Suplementa potasio en el agua.; Ajusta la salinidad del agua.; Mejora la función muscular de los organismos.; Esencial para el equilibrio electrolítico.","Presentación:; Sacos de 25 kg.; Almacenamiento:; Mantener en lugar seco.; Evitar la humedad.","Pureza: ≥99%; Forma: Cristalino; Color: Blanco; Solubilidad: Soluble en agua; Contenido de K: 52.4%","camarones; sales; quimicos; acuicultura; prilabsa","2025-07-19T17:20:19.839292"
"54","54","QU003","NITRATO DE SODIO","quimicos","Sales","nitrato-de-sodio","/assets/images/productos/quimicos/QU003.png","/assets/pdfs/productos/quimicos/QU003_PERCARBONATO_DE_SODIO_ficha.pdf","Sal mineral como fuente de nitrógeno.","Sal mineral utilizada como fuente de nitrógeno y para ajuste de parámetros químicos del agua.","PRILABSA","InStock","false","quimicos; acuicultura; prilabsa","Fuente de nitrógeno para el agua.; Estimula el crecimiento de fitoplancton.; Mejora la productividad primaria.; Ajusta parámetros químicos del agua.","Presentación:; Sacos de 25 kg.; Almacenamiento:; Mantener en lugar seco y fresco.; Evitar el contacto con materiales combustibles.","Pureza: ≥99%; Forma: Cristalino; Color: Blanco; Solubilidad: Altamente soluble en agua; Contenido de N: 16.5%","camarones; sales; quimicos; acuicultura; prilabsa","2025-07-19T17:20:19.839292"
"55","55","QU005","NITRATO SÓDICO POTÁSICO","quimicos","Sales","nitrato-sodico-potasico","/assets/images/productos/quimicos/QU005.png","/assets/pdfs/productos/quimicos/QU005_METASILICATO_DE_SODIO_ficha.pdf","Fertilizante mineral que aporta nitrógeno, sodio y potasio.","Fertilizante mineral que aporta nitrógeno, sodio y potasio para sistemas acuícolas.","PRILABSA","InStock","false","quimicos; acuicultura; prilabsa","Aporta nitrógeno y potasio.; Estimula el crecimiento de fitoplancton.; Mejora la productividad del estanque.; Fertilizante completo para acuicultura.","Presentación:; Sacos de 25 kg.; Almacenamiento:; Mantener en lugar seco y fresco.; Evitar el contacto con materiales combustibles.","Contenido de N: 15%; Contenido de K2O: 14%; Forma: Cristalino; Color: Blanco; Solubilidad: Altamente soluble en agua","camarones; sales; quimicos; acuicultura; prilabsa","2025-07-19T17:20:19.839292"
"56","56","QU016","SULFATO DE ALUMINIO (SO4)3 Al2","quimicos","Sales","sulfato-de-aluminio","/assets/images/productos/quimicos/QU016.png","/assets/pdfs/productos/quimicos/QU016_ORTHOTOLIDINE_OTO_ficha.pdf","Coagulante para clarificación de agua.","Coagulante utilizado para clarificación de agua y remoción de partículas en suspensión.","PRILABSA","InStock","false","quimicos; acuicultura; prilabsa","Efectivo coagulante para clarificación.; Remueve partículas en suspensión.; Mejora la transparencia del agua.; Reduce la turbidez.","Presentación:; Sacos de 25 kg.; Almacenamiento:; Mantener en lugar seco.; Evitar la humedad.","Pureza: ≥17% Al2O3; Forma: Escamas; Color: Blanco a gris claro; Solubilidad: Soluble en agua; pH (solución 1%): 3.0-3.5","camarones; sales; quimicos; acuicultura; prilabsa","2025-07-19T17:20:19.839292"
"57","57","QU017","THIOSULFATO DE SODIO","quimicos","Sales","thiosulfato-de-sodio","/assets/images/productos/quimicos/QU017.png","/assets/pdfs/productos/quimicos/QU017_THIOSULFATO_DE_SODIO_ficha.pdf","Agente neutralizante de cloro para decloración de agua.","Agente neutralizante de cloro utilizado para decloración de agua en sistemas acuícolas.","PRILABSA","InStock","false","quimicos; acuicultura; prilabsa","Neutraliza el cloro residual.; Decloración rápida y efectiva.; Protege a los organismos acuáticos.; Esencial para tratamiento de agua.","Presentación:; Sacos de 25 kg.; Almacenamiento:; Mantener en lugar seco.; Evitar la humedad.","Pureza: ≥99%; Forma: Cristalino; Color: Blanco; Solubilidad: Altamente soluble en agua; pH (solución 1%): 6.5-8.0","camarones; sales; quimicos; acuicultura; prilabsa","2025-07-19T17:20:19.839292"
"58","58","QU018","METASILICATO DE SODIO","quimicos","Silicatos","metasilicato-de-sodio","/assets/images/productos/quimicos/QU018.png","/assets/pdfs/productos/quimicos/QU018_REFRIGERANTE_ECOLOGICO_R507_ficha.pdf","Compuesto alcalino para ajuste de pH y limpieza.","Compuesto alcalino utilizado para ajuste de pH y como agente limpiador en sistemas acuícolas.","PRILABSA","InStock","false","quimicos; acuicultura; prilabsa","Ajusta el pH del agua.; Agente limpiador alcalino.; Remueve depósitos orgánicos.; Mejora la calidad del agua.","Presentación:; Sacos de 25 kg.; Almacenamiento:; Mantener en lugar seco.; Evitar el contacto con ácidos.","Pureza: ≥98%; Forma: Escamas; Color: Blanco; Solubilidad: Soluble en agua; pH (solución 1%): 12.5-13.0","camarones; silicatos; quimicos; acuicultura; prilabsa","2025-07-19T17:20:19.839292"
"59","59","EQ001","OXIGENÓMETRO - OAKTON 260","equipos","Oxigenometros","oxigenometro-oakton-260","/assets/images/productos/equipos/EQ001.png","/assets/pdfs/productos/equipos/EQ001_OXIGENOMETRO_-_OAKTON_260_ficha.pdf","Medidor portátil de oxígeno disuelto y temperatura con carcasa resistente IP67.","Medidor portátil de oxígeno disuelto y temperatura, diseñado con una carcasa robusta, antideslizante y resistente al agua (IP67), polvo e impactos. Su diseño ergonómico, interfaz intuitiva y funciones avanzadas lo convierten en una herramienta confiable para monitoreo en campo o laboratorio. Ideal para condiciones exigentes de campo y laboratorio con capacidad de registro de hasta 1000 datos y conectividad USB y RS-232.","PRILABSA","InStock","true","equipos; acuicultura; prilabsa; oxigenometros","Mide con precisión parámetros esenciales como OD y temperatura; Ideal para condiciones exigentes de campo y laboratorio; Permite trazabilidad de datos con su función de registro digital; Fácil de usar, transportar y configurar; Carcasa robusta resistente al agua (IP67), polvo e impactos; Conectividad USB y RS-232 para transferencia de datos","Equipo portátil con cable de 2 m, portaelectrodos y soporte plegable; No requiere refrigeración ni almacenamiento especial","Carcasa: Antideslizante y resistente (IP67); Pantalla: LCD monocromática con retroiluminación; Registro de datos: Hasta 1000 datos; Conectividad: USB y RS-232; Oxígeno disuelto: 0–20 mg/L, precisión ±0.1 mg/L; Temperatura: -30 a 130 °C, precisión ±0.5 °C; Resolución: 0.01 mg/L y 0.1 °C; Alimentación: 2 baterías AA","oxigenometros; camarones; acuicultura; equipos; prilabsa","2025-07-19T17:20:20.004031"
"60","60","EQ002","WATERLINK SPIN TOUCH","equipos","General","waterlink-spin-touch","/assets/images/productos/equipos/EQ002.png","/assets/pdfs/productos/equipos/EQ002_WATERLINK_SPIN_TOUCH_ficha.pdf","Fotómetro digital avanzado para pruebas rápidas en agua dulce y salada.","Fotómetro digital avanzado para pruebas rápidas y precisas en agua dulce y salada. Utiliza discos prellenados (SpinDisk™) para ejecutar de 8 a 10 pruebas simultáneas en solo 2 minutos con menos de 3 ml de muestra.","PRILABSA","InStock","false","equipos; acuicultura; prilabsa; general","Ahorra tiempo con resultados rápidos y confiables; Reduce errores humanos con reactivos premedidos; Facilita el control y seguimiento de calidad del agua; Mejora la toma de decisiones mediante historial y alertas","Equipo portátil con discos individuales; No requiere condiciones especiales de almacenamiento","Pruebas simultáneas: Hasta 10 en 2 minutos; Muestra requerida: < 3 ml; Tipo de disco: SpinDisk™ (descartable); Tipo de agua: Dulce y salada; Registro: Automático con fecha y hora; Conectividad: Compatible con app WaterLink® (iOS y Android)","camarones; general; acuicultura; equipos; prilabsa","2025-07-19T17:20:19.871348"
"61","61","EQ003","NEON OPTOD","equipos","Oxigenometros","neon-optod-oximetro-acuicultura","/assets/images/productos/equipos/EQ003.png","/assets/pdfs/productos/equipos/EQ003_NEON_OPTOD_ficha.pdf","Oxímetro portátil de alta precisión con sensor OPTOD para sistemas acuícolas.","Oxímetro portátil de alta precisión para medición de oxígeno disuelto y temperatura en sistemas acuícolas. Utiliza sensor OPTOD con tecnología óptica de luminiscencia, ideal para ambientes de baja circulación. Procesa, registra y transmite datos de manera eficiente con almacenamiento interno de hasta 3000 mediciones.","PRILABSA","InStock","false","equipos; acuicultura; prilabsa; oxigenometros; camarones; medicion","Lecturas confiables y precisas incluso en condiciones con baja circulación de agua; Bajo mantenimiento y operación sin consumo de oxígeno; Gestión completa de datos y usuarios directamente desde el sensor; Ideal para mediciones de campo gracias a su portabilidad y autonomía","Equipo portátil alimentado con 3 pilas AA; Incluye sensor OPTOD; Datos exportables vía WiFi; No requiere condiciones especiales de almacenamiento","Rango de Oxígeno: 0,00 – 20,00 mg/L / 0 – 200 %; Resolución: 0,01; Precisión Oxígeno: ±0,1 mg/L, ±0,1 %; Precisión Temperatura: ±0,5 °C; Almacenamiento: 3000 registros internos; Conexión: Descarga por WiFi; Alimentación: 3 pilas AA; Sensor: OPTOD óptico (cambio cada 2 años); Compensaciones: Barométrica (auto), Salinidad (manual), Temperatura (auto)","oxigenometros; camarones; acuicultura; equipos; prilabsa; sensor optod; oxigeno disuelto; medicion agua","2025-07-19T17:20:20.013545"
"62","62","EQ004","OXIGENÓMETRO OxyGuard Polaris C","equipos","Oxigenometros","oxigenometro-oxyguard-polaris-c","/assets/images/productos/equipos/EQ004.png","/assets/pdfs/productos/equipos/EQ004_ficha.pdf","Oxímetro portátil de campo con sonda galvánica para medición de oxígeno disuelto y temperatura.","Oxímetro portátil de campo con sonda galvánica que permite medir oxígeno disuelto (en mg/L y % de saturación), temperatura y compensación de salinidad. Diseñado para ambientes exigentes, ofrece gran autonomía, pantalla retroiluminada y calibración automática con ajuste a presión barométrica.","PRILABSA","InStock","false","equipos; acuicultura; prilabsa; oxigenometros","Equipamiento confiable para uso en campo y ambientes de cultivo exigentes; Lecturas precisas gracias a su compensación barométrica y de temperatura; Alta autonomía y facilidad de transporte para jornadas prolongadas; Calibración automática que simplifica el manejo y reduce errores","Dispositivo portátil con sonda galvánica; Clip desmontable, batería de 9V; Membrana y solución electrolítica incluidas","Rango de oxígeno: 0 – 60 ppm; Rango de temperatura: -5 °C a +45 °C; Longitud del cable: 3 m y 8 m disponibles; Batería: 9V con duración de hasta 1.400 horas; Altitud operación: Hasta 4000 msnm","oxigenometros; camarones; acuicultura; equipos; prilabsa","2025-07-19T17:20:19.994701"
"63","63","EQ005","OXIGENÓMETRO - Disuelto DO -120","equipos","Oxigenometros","oxigenometro-disuelto-do-120","/assets/images/productos/equipos/EQ005.jpg","/assets/pdfs/productos/equipos/EQ005_ficha.pdf","Oxigenómetro portátil japonés de alta precisión con protección IP67 y registro de datos.","Oxigenómetro portátil japonés de alta precisión para mediciones de oxígeno disuelto y temperatura en campo. Equipado con sensor galvánico y carcasa resistente a caídas, polvo y agua (IP67), flota en el agua y permite lecturas en entornos exigentes. Ideal para acuicultura gracias a su durabilidad, amplio rango de medición y capacidad de almacenamiento de datos con registro de hora y fecha.","PRILABSA","InStock","false","equipos; acuicultura; prilabsa; oxigenometros","Ideal para trabajos prolongados en campo por su resistencia y duración de batería; Alta precisión y confiabilidad en condiciones extremas; Capacidad de registrar y exportar datos con sello de fecha y hora; Fácil lectura y uso incluso en entornos oscuros o húmedos","Kit incluye medidor DO120; Sensor galvánico 9551-20D con cable de 2 m","Rango oxígeno disuelto: 0.0 – 20.00 mg/L (0.0 – 200.0%); Resolución oxígeno: 0.01 mg/L o 0.1%; Precisión oxígeno: ±0.1 mg/L; Rango de temperatura: -30.0 °C a 130.0 °C; Precisión temperatura: ±0.4 °C; Compensación salinidad: 0 – 40 ppt; Memoria: Hasta 1000 lecturas; Duración batería: > 500 horas; Protección: IP67 - A prueba de agua y polvo","camarones; general; acuicultura; equipos; prilabsa","2025-07-19T17:20:19.874383"
"64","64","EQ006","MEDIDOR DE PH","equipos","General","medidor-de-ph","/assets/images/productos/equipos/EQ006.png","/assets/pdfs/productos/equipos/EQ006_ficha.pdf","Medidor de pH portátil con protección IP67 y calibración sencilla de dos botones.","Medidor de pH portátil con protección IP67, resistente a golpes y caídas. Requiere volumen mínimo de muestra (0.3 ml) y cuenta con calibración sencilla de dos botones, pantalla LCD retroiluminada y sensor reemplazable. Ideal para mediciones rápidas y precisas en campo o laboratorio.","PRILABSA","InStock","false","equipos; acuicultura; prilabsa; medidores","A prueba de agua y polvo, resistente a golpes; Peso ligero de solo 55 gramos; Pantalla amplia LCD con retroiluminación para ver resultados en lugares obscuros; Se necesita un volumen mínimo de muestra; Solo dos botones de calibración","Soluciones de calibración pH 7.00 & 4.01 (14 ml cada uno); Baterías CR2032 (2); Pipeta; Manual de instrucción y manual rápido; Estuche","Protección: IP67 - A prueba de agua y polvo; Volumen mínimo muestra: 0.3 ml; Dimensiones: 164 x 29 x 20 mm; Peso: Aprox. 55 g (con sensor y baterías); Alimentación: 2 baterías CR2032; Autonomía: Aprox. 400 h sin retroiluminación; Apagado automático: 30 minutos","oxigenometros; camarones; acuicultura; equipos; prilabsa","2025-07-19T17:20:19.986967"
"65","65","EQ007","MEDIDOR DE POTASIO","equipos","General","medidor-de-potasio","/assets/images/productos/equipos/EQ007.png","/assets/pdfs/productos/equipos/EQ007_ficha.pdf","Medidor portátil japonés de potasio con tecnología de electrodo selectivo de iones.","Medidor portátil japonés de potasio de alta precisión, ideal para laboratorio y campo. Utiliza tecnología de electrodo selectivo de iones, requiere un volumen mínimo de muestra y ofrece lectura rápida, confiable y fácil gracias a su pantalla LCD con retroiluminación. Compacto, liviano y resistente, diseñado para pruebas rápidas en líquidos, suelos o soluciones nutritivas.","PRILABSA","InStock","false","equipos; acuicultura; prilabsa; medidores","Alta portabilidad y fácil operación en campo o laboratorio; Requiere una cantidad mínima de muestra para análisis rápidos; Precisión confiable para decisiones inmediatas en acuicultura, agricultura o control de calidad; Larga duración de batería y resistente a condiciones adversas","Estuche incluido; Soluciones de calibración de 150 y 2000 ppm (14 ml c/u); 2 baterías CR2032; 2 jeringas de 2.5 ml; Manual de instrucciones","Protección: IP67 - A prueba de agua y polvo; Volumen mínimo muestra: 0.3 ml; Dimensiones: 164 x 29 x 20 mm; Peso: Aprox. 55 g (con sensor y baterías); Alimentación: 2 baterías CR2032; Autonomía: Aprox. 400 h sin retroiluminación; Apagado automático: 30 minutos; Tecnología: Electrodo selectivo de iones","oxigenometros; camarones; acuicultura; equipos; prilabsa","2025-07-19T17:20:20.021555"
"66","66","EQ008","MEDIDOR DE CONDUCTIVIDAD EC-11","equipos","General","medidor-de-conductividad-ec11","/assets/images/productos/equipos/EQ008.png","/assets/pdfs/productos/equipos/EQ008_ficha.pdf","Medidor portátil de conductividad con tecnología de doble electrodo bipolar y protección IP67.","Medidor portátil compacto y de alta precisión diseñado para la medición de conductividad en campo o laboratorio. Su tecnología de doble electrodo bipolar y funciones automatizadas permiten lecturas confiables con un volumen mínimo de muestra. Es resistente, impermeable (IP67) y apto para condiciones exigentes. Ideal para aplicaciones en acuicultura, agricultura y análisis de calidad de agua.","PRILABSA","InStock","false","equipos; acuicultura; prilabsa; medidores","Lectura rápida y precisa de conductividad con una muestra mínima; Portátil, confiable y resistente para uso en campo o laboratorio; Automatizaciones que simplifican la operación sin comprometer la precisión; Ideal para controlar la calidad del agua en cultivos acuícolas, agrícolas o análisis industriales","Soluciones de calibración: 1,41 mS/cm y 12,9 mS/cm (14 ml c/u); Solución de tratamiento de electrodo (4 ml); 2 baterías CR2032; Pipeta; Manual de instrucciones; Estuche portátil","Protección: IP67 - A prueba de agua y polvo; Volumen mínimo muestra: 0.12 ml; Dimensiones: 164 × 29 × 20 mm; Peso: Aprox. 55 g (incluyendo baterías y sensor); Alimentación: 2 baterías CR2032; Duración: Aprox. 400 horas de uso continuo sin retroiluminación; Apagado automático: 30 minutos; Tecnología: Doble electrodo bipolar","oxigenometros; camarones; acuicultura; equipos; prilabsa","2025-07-19T17:20:19.997583"
"67","67","EQ009","MEDIDOR DE CALCIO","equipos","General","medidor-de-calcio","/assets/images/productos/equipos/EQ009.png","/assets/pdfs/productos/equipos/EQ009_ficha.pdf","Medidor portátil de calcio con electrodo selectivo de iones para mediciones rápidas y precisas.","Medidor portátil de calcio con electrodo selectivo de iones, diseñado para ofrecer mediciones rápidas y precisas en campo o laboratorio. Su diseño compacto y resistente, sumado a su facilidad de uso y necesidad de muestra mínima, lo convierte en una herramienta ideal para aplicaciones en acuicultura, agricultura e investigación.","PRILABSA","InStock","false","equipos; acuicultura; prilabsa; medidores","Permite análisis precisos de calcio con solo unas gotas de muestra; Ideal para monitoreo directo en campo o laboratorio; Portátil, práctico y con alta resistencia al agua, polvo y golpes; Fácil de usar, con calibración simple y rápida","Soluciones de calibración: 150 y 2000 ppm (14 ml c/u); 2 baterías CR2032; Jeringa dosificadora (2.5 ml); Manual de instrucciones; Estuche rígido de transporte","Protección: IP67 - A prueba de agua y polvo; Dimensiones: 164 × 29 × 20 mm; Peso: Aprox. 55 g (incluyendo baterías y sensor); Alimentación: 2 baterías CR2032; Duración: Aprox. 400 horas de uso continuo sin retroiluminación; Apagado automático: 30 minutos; Tecnología: Electrodo selectivo de iones","oxigenometros; camarones; acuicultura; equipos; prilabsa","2025-07-19T17:20:19.989519"
"68","68","EQ014","FRESHWATER","equipos","Kits de Análisis","freshwater-kit-analisis-agua-dulce","/assets/images/productos/equipos/EQ014.png","/assets/pdfs/productos/equipos/EQ014_FRESHWATER_ficha.pdf","Kit multiparámetros para análisis de agua dulce en acuicultura.","Kit especializado que permite al productor acuícola mantener el control de los metabolitos tóxicos más perjudiciales dentro de su cultivo. Diseñado específicamente para agua dulce, ofrece análisis rápido y confiable de múltiples parámetros críticos para la salud de los organismos acuáticos.","PRILABSA","InStock","false","equipos; kits_analisis; agua_dulce; acuicultura; prilabsa","Permite mantener el control de metabolitos tóxicos perjudiciales; Especialmente recomendado para agua dulce; Análisis rápido y fácil de usar; Control efectivo de calidad de agua en cultivos; Prevención de problemas de salud en organismos acuáticos; Optimización de condiciones de cultivo","Kit completo con 7 envases de 37 ML cada uno; Incluye reactivos para análisis multiparámetros; Empaque diseñado para facilidad de uso en campo","Tipo de agua: Agua dulce; Número de parámetros: Multiparámetros; Método de análisis: Rápido y fácil; Aplicación: Control de metabolitos tóxicos; Presentación: Kit de 7 envases de 37 ML cada uno","kits_analisis; camarones; acuicultura; equipos; prilabsa; agua_dulce; multiparametros; metabolitos_toxicos","2025-07-19T17:20:19.907329"
"69","69","EQ016","CHEMETRICS KIT DE PERÓXIDO DE HIDRÓGENO","equipos","Kits de Análisis","chemetrics-kit-peroxido-hidrogeno","/assets/images/productos/equipos/EQ016.png","/assets/pdfs/productos/equipos/EQ016_CHEMETRICS_KIT_DE_PEROXIDO_DE_HIDROGENO_ficha.pdf","Kit CHEMETRICS para medición de peróxido de hidrógeno en acuicultura.","Kit de análisis especializado para la medición precisa de peróxido de hidrógeno en sistemas acuícolas. Esencial para el monitoreo de este agente oxidante utilizado comúnmente en tratamientos de desinfección y mejora de calidad del agua en cultivos acuícolas.","CHEMETRICS","InStock","false","equipos; kits_analisis; chemetrics; acuicultura; prilabsa","Monitoreo preciso de peróxido de hidrógeno para tratamientos; Control efectivo de agentes oxidantes en el agua; Optimización de procesos de desinfección; Prevención de sobredosificación de químicos; Mejora de la calidad del agua en cultivos","Kit completo con reactivos colorimétricos; Rango de medición 0.1-1.0%; Incluye instrucciones de uso","Rango de medición: 0.1-1.0%; Método: Colorimétrico; Aplicación: Sistemas acuícolas; Componente medido: Peróxido de hidrógeno (H2O2)","chemetrics; kits_analisis; acuicultura; equipos; prilabsa; peroxido_hidrogeno; desinfeccion; calidad_agua","2025-07-19T17:20:19.945783"
"70","70","EQ017","CHEMETRICS KIT DE NITRITO","equipos","Kits de Análisis","chemetrics-kit-nitrito","/assets/images/productos/equipos/EQ017.png","/assets/pdfs/productos/equipos/EQ017_CHEMETRICS_KIT_DE_NITRITO_ficha.pdf","Kit CHEMETRICS para medición de nitritos en sistemas acuícolas.","Kit de análisis especializado para la medición de nitritos (NO2-) en sistemas acuícolas. Los nitritos son un compuesto intermedio tóxico del ciclo del nitrógeno que debe monitorearse cuidadosamente para mantener la salud de los organismos cultivados.","CHEMETRICS","InStock","false","equipos; kits_analisis; chemetrics; acuicultura; prilabsa","Monitoreo crítico de nitritos tóxicos; Control del ciclo del nitrógeno en cultivos; Prevención de intoxicación por nitritos; Optimización del sistema de filtración biológica; Protección de la salud de los organismos aquáticos","Kit con dos rangos de medición; 0-0.1 ppm para mediciones de precisión; 0-1 ppm para rangos amplios; Método colorimétrico fácil de usar","Rango de medición: 0-0.1 & 0-1 ppm; Método: Colorimétrico; Componente medido: Nitrito (NO2-); Aplicación: Monitoreo ciclo del nitrógeno","chemetrics; kits_analisis; acuicultura; equipos; prilabsa; nitrito; ciclo_nitrogeno; calidad_agua","2025-07-19T17:20:19.950267"
"71","71","EQ018","CHEMETRICS KIT DE NITRATO","equipos","Kits de Análisis","chemetrics-kit-nitrato","/assets/images/productos/equipos/EQ018.png","/assets/pdfs/productos/equipos/EQ018_CHEMETRICS_KIT_DE_NITRATO_ficha.pdf","Kit CHEMETRICS para medición de nitratos en sistemas acuícolas.","Kit de análisis especializado para la medición de nitratos (NO3-) en sistemas acuícolas. Los nitratos representan la forma final y menos tóxica del ciclo del nitrógeno, pero su acumulación debe monitorearse para mantener condiciones óptimas de cultivo.","CHEMETRICS","InStock","false","equipos; kits_analisis; chemetrics; acuicultura; prilabsa","Monitoreo de la etapa final del ciclo del nitrógeno; Control de acumulación de nitratos en el sistema; Evaluación de la eficiencia del sistema de filtración; Optimización de cambios de agua; Mantenimiento de condiciones óptimas de cultivo","Kit colorimétrico de fácil uso; Rango de medición 0-4.5 ppm; Incluye reactivos y manual de instrucciones; Resultados rápidos y confiables","Rango de medición: 0-4.5 ppm; Método: Colorimétrico; Componente medido: Nitrato (NO3-); Aplicación: Control ciclo del nitrógeno","chemetrics; kits_analisis; acuicultura; equipos; prilabsa; nitrato; ciclo_nitrogeno; calidad_agua","2025-07-19T17:20:19.954832"
"72","72","EQ019","CHEMETRICS KIT DE HIERRO","equipos","Kits de Análisis","chemetrics-kit-hierro","/assets/images/productos/equipos/EQ019.png","/assets/pdfs/productos/equipos/EQ019_CHEMETRICS_KIT_DE_HIERRO_ficha.pdf","Kit CHEMETRICS para medición de hierro en sistemas acuícolas.","Kit de análisis especializado para la medición de hierro total en sistemas acuícolas. El hierro es un micronutriente esencial que puede volverse tóxico en concentraciones elevadas, requiriendo monitoreo constante.","CHEMETRICS","InStock","false","equipos; kits_analisis; chemetrics; acuicultura; prilabsa","Monitoreo de hierro como micronutriente esencial; Prevención de toxicidad por exceso de hierro; Control de calidad del agua de cultivo; Optimización de suplementación nutricional; Mantenimiento del equilibrio de microelementos","Kit con dos rangos de sensibilidad; 0-0.1 ppm para detecciones de precisión; 0-1 ppm para monitoreo general; Método colorimétrico confiable","Rango de medición: 0-0.1 & 0-1 ppm; Método: Colorimétrico; Componente medido: Hierro total (Fe); Aplicación: Control de micronutrientes","chemetrics; kits_analisis; acuicultura; equipos; prilabsa; hierro; micronutrientes; toxicidad","2025-07-19T17:20:19.959384"
